Classifier,F1_CV_Mean,F1_CV_Std,F1_Training,TP,TN,FP,FN
LogisticRegression,0.6886595441850415,0.019890657883634595,0.6896551724137931,200,2120,66,114
RandomForest,0.818423968219794,0.015034448268897129,1.0,314,2186,0,0
SVM,0.879520018045517,0.028356655771264425,0.9084967320261438,278,2166,20,36
XGBoost,0.8696645596131489,0.040311662304124696,1.0,314,2186,0,0
